iter	Passed	Remaining
402	13840	20503
403	13872	20465
404	13903	20425
405	13936	20390
406	13962	20344
407	13991	20301
408	14017	20255
409	14049	20217
410	14088	20189
411	14117	20147
412	14146	20106
413	14177	20067
414	14208	20028
415	14238	19988
416	14265	19944
417	14293	19901
418	14327	19867
419	14361	19833
420	14395	19797
421	14432	19768
422	14467	19735
423	14499	19697
424	14533	19662
425	14563	19622
426	14596	19587
427	14623	19543
428	14651	19501
429	14685	19467
430	14720	19433
431	14756	19401
432	14786	19362
433	14817	19323
434	14850	19289
435	14880	19248
436	14915	19216
437	14945	19176
438	14976	19139
439	15009	19103
440	15043	19069
441	15083	19041
442	15112	19001
443	15147	18968
444	15176	18927
445	15208	18891
446	15241	18855
447	15273	18818
448	15304	18781
449	15341	18750
450	15368	18708
451	15400	18671
452	15430	18632
453	15468	18602
454	15500	18566
455	15531	18529
456	15573	18503
457	15610	18473
458	15643	18438
459	15677	18404
460	15715	18374
461	15761	18354
462	15817	18345
463	15864	18326
464	15901	18295
465	15939	18265
466	15973	18230
467	16080	18279
468	16144	18279
469	16180	18246
470	16206	18202
471	16237	18164
472	16266	18124
473	16301	18089
474	16333	18052
475	16364	18015
476	16400	17982
477	16439	17952
478	16473	17917
479	16505	17880
480	16534	17840
481	16567	17805
482	16604	17773
483	16642	17743
484	16682	17714
485	16728	17691
486	16766	17661
487	16806	17633
488	16844	17601
489	16877	17565
490	16913	17533
491	16949	17500
492	16991	17473
493	17033	17447
494	17071	17416
495	17111	17387
496	17151	17358
497	17183	17321
498	17219	17288
499	17252	17252
500	17278	17209
501	17307	17169
502	17344	17137
503	17381	17105
504	17418	17073
505	17450	17036
506	17478	16996
507	17518	16966
508	17559	16938
509	17586	16896
510	17615	16857
511	17647	16819
512	17681	16785
513	17723	16758
514	17760	16725
515	17803	16698
516	17846	16672
517	17882	16640
518	17916	16605
519	17983	16599
520	18028	16575
521	18068	16545
522	18111	16518
523	18166	16502
524	18215	16480
525	18273	16467
526	18312	16436
527	18343	16398
528	18389	16373
529	18424	16338
530	18461	16306
531	18517	16290
532	18552	16254
533	18587	16220
534	18623	16186
535	18672	16164
536	18719	16140
537	18755	16105
538	18788	16069
539	18896	16097
540	18949	16077
541	18984	16042
542	19033	16018
543	19066	15981
544	19098	15944
545	19139	15914
546	19176	15881
547	19216	15850
548	19254	15817
549	19288	15781
550	19321	15745
551	19357	15710
552	19397	15679
553	19436	15647
554	19474	15614
555	19508	15578
556	19546	15546
557	19580	15509
558	19619	15477
559	19707	15484
560	19788	15485
561	19850	15470
562	19908	15452
563	19936	15412
564	19971	15376
565	20007	15341
566	20043	15306
567	20078	15270
568	20115	15236
569	20160	15209
570	20200	15176
571	20240	15144
572	20279	15112
573	20316	15077
574	20362	15050
575	20424	15034
576	20476	15011
577	20516	14979
578	20563	14951
579	20606	14921
580	20662	14900
581	20696	14864
582	20728	14826
583	20761	14789
584	20797	14754
585	20830	14716
586	20861	14677
587	20892	14638
588	20926	14602
589	20972	14574
590	21008	14539
591	21041	14501
592	21076	14465
593	21109	14428
594	21143	14391
595	21175	14353
596	21221	14325
597	21273	14300
598	21319	14272
599	21364	14242
600	21406	14211
601	21451	14182
602	21496	14152
603	21525	14112
604	21560	14076
605	21594	14039
606	21623	14000
607	21663	13967
608	21696	13929
609	21743	13901
610	21774	13863
611	21818	13832
612	21852	13795
613	21880	13755
614	21911	13716
615	21941	13677
616	21972	13639
617	22005	13602
618	22052	13573
619	22093	13541
620	22126	13503
621	22164	13469
622	22199	13433
623	22230	13395
624	22261	13357
625	22290	13317
626	22331	13284
627	22367	13249
628	22405	13215
629	22444	13181
630	22541	13181
631	22612	13166
632	22645	13129
633	22684	13095
634	22717	13058
635	22746	13018
636	22779	12981
637	22814	12944
638	22843	12905
639	22878	12869
640	22922	12838
641	22962	12804
642	23008	12774
643	23050	12742
644	23082	12704
645	23116	12667
646	23151	12631
647	23193	12599
648	23230	12563
649	23278	12534
650	23313	12498
651	23345	12460
652	23382	12425
653	23415	12387
654	23450	12351
655	23480	12313
656	23511	12274
657	23547	12238
658	23579	12201
659	23610	12163
660	23646	12127
661	23683	12092
662	23716	12054
663	23749	12018
664	23781	11980
665	23824	11947
666	23856	11910
667	23889	11873
668	23925	11837
669	23957	11799
670	23991	11763
671	24026	11727
672	24061	11691
673	24099	11656
674	24133	11619
675	24171	11585
676	24211	11551
677	24245	11514
678	24275	11476
679	24304	11437
680	24336	11399
681	24364	11360
682	24395	11322
683	24427	11285
684	24456	11246
685	24484	11207
686	24514	11168
687	24545	11131
688	24573	11091
689	24602	11053
690	24634	11015
691	24665	10978
692	24697	10941
693	24729	10903
694	24759	10865
695	24790	10827
696	24818	10789
697	24850	10751
698	24876	10712
699	24908	10675
700	24939	10637
701	24973	10601
702	25006	10564
703	25037	10526
704	25067	10489
705	25099	10452
706	25128	10414
707	25159	10376
708	25187	10337
709	25220	10301
710	25252	10264
711	25283	10227
712	25317	10190
713	25353	10155
714	25382	10117
715	25411	10079
716	25443	10042
717	25489	10011
718	25518	9973
719	25557	9938
720	25598	9905
721	25633	9870
722	25667	9833
723	25707	9799
724	25778	9777
725	25817	9743
726	25862	9711
727	25894	9674
728	25927	9638
729	25965	9603
730	26008	9570
731	26055	9539
732	26097	9506
733	26128	9468
734	26161	9432
735	26200	9398
736	26242	9364
737	26279	9329
738	26337	9301
739	26390	9272
740	26432	9238
741	26473	9205
742	26511	9170
743	26553	9136
744	26595	9103
745	26639	9070
746	26678	9035
747	26715	9000
748	26756	8966
749	26800	8933
750	26849	8902
751	26892	8868
752	26939	8836
753	26981	8802
754	27020	8768
755	27058	8733
756	27104	8700
757	27151	8668
758	27189	8633
759	27230	8599
760	27265	8562
761	27296	8525
762	27337	8491
763	27378	8457
764	27418	8422
765	27485	8396
766	27540	8366
767	27598	8337
768	27631	8300
769	27700	8274
770	27795	8255
771	27829	8219
772	27880	8187
773	27928	8154
774	27977	8122
775	28014	8086
776	28042	8048
777	28075	8011
778	28108	7974
779	28135	7935
780	28173	7900
781	28212	7864
782	28252	7829
783	28298	7796
784	28341	7762
785	28383	7727
786	28423	7692
787	28457	7656
788	28488	7618
789	28519	7581
790	28550	7543
791	28580	7505
792	28611	7468
793	28654	7434
794	28698	7400
795	28743	7366
796	28789	7332
797	28822	7295
798	28851	7258
799	28884	7221
800	28914	7183
801	28945	7146
802	28980	7109
803	29009	7071
804	29040	7034
805	29071	6997
806	29105	6960
807	29146	6925
808	29188	6891
809	29241	6859
810	29275	6822
811	29312	6786
812	29346	6750
813	29384	6714
814	29419	6678
815	29454	6641
816	29487	6604
817	29520	6568
818	29551	6530
819	29586	6494
820	29619	6457
821	29661	6423
822	29703	6388
823	29738	6352
824	29776	6316
825	29808	6279
826	29842	6242
827	29877	6206
828	29918	6171
829	29954	6135
830	30000	6101
831	30057	6069
832	30101	6034
833	30136	5998
834	30172	5962
835	30205	5925
836	30243	5889
837	30292	5856
838	30337	5821
839	30429	5796
840	30484	5763
841	30551	5732
842	30603	5699
843	30666	5668
844	30716	5634
845	30754	5598
846	30793	5562
847	30823	5525
848	30852	5487
849	30888	5450
850	31124	5449
851	31196	5419
852	31291	5392
853	31372	5363
854	31411	5327
855	31440	5289
856	31476	5252
857	31519	5216
858	31557	5179
859	31599	5144
860	31642	5108
861	31677	5071
862	31720	5035
863	31756	4998
864	31790	4961
865	31826	4924
866	31863	4887
867	31901	4851
868	31939	4814
869	31974	4777
870	32021	4742
871	32063	4706
872	32103	4670
873	32140	4633
874	32176	4596
875	32210	4559
876	32251	4523
877	32282	4485
878	32309	4447
879	32337	4409
880	32365	4371
881	32393	4333
882	32427	4296
883	32451	4258
884	32481	4220
885	32513	4183
886	32546	4146
887	32571	4108
888	32599	4070
889	32629	4032
890	32655	3994
891	32685	3957
892	32711	3919
893	32740	3882
894	32771	3844
895	32797	3806
896	32827	3769
897	32854	3731
898	32882	3694
899	32915	3657
900	32941	3619
901	32969	3582
902	32998	3544
903	33026	3507
904	33055	3469
905	33084	3432
906	33113	3395
907	33142	3358
908	33172	3320
909	33195	3283
910	33224	3245
911	33253	3208
912	33282	3171
913	33310	3134
914	33337	3096
915	33366	3059
916	33394	3022
917	33419	2985
918	33445	2947
919	33478	2911
920	33511	2874
921	33539	2837
922	33568	2800
923	33595	2763
924	33624	2726
925	33655	2689
926	33678	2652
927	33707	2615
928	33738	2578
929	33765	2541
930	33793	2504
931	33821	2467
932	33850	2430
933	33878	2394
934	33919	2358
935	33948	2321
936	33978	2284
937	34012	2248
938	34044	2211
939	34084	2175
940	34122	2139
941	34158	2103
942	34189	2066
943	34218	2029
944	34250	1993
945	34290	1957
946	34322	1920
947	34356	1884
948	34386	1847
949	34419	1811
950	34444	1774
951	34476	1738
952	34508	1701
953	34542	1665
954	34574	1629
955	34606	1592
956	34637	1556
957	34668	1519
958	34702	1483
959	34736	1447
960	34763	1410
961	34797	1374
962	34841	1338
963	34875	1302
964	35037	1270
965	35124	1236
966	35166	1200
967	35218	1164
968	35264	1128
969	35298	1091
970	35328	1055
971	35363	1018
972	35392	982
973	35422	945
974	35450	908
975	35479	872
976	35512	836
977	35553	799
978	35585	763
979	35612	726
980	35640	690
981	35676	653
982	35711	617
983	35744	581
984	35784	544
985	35818	508
986	35857	472
987	35890	435
988	35919	399
989	35955	363
990	35984	326
991	36012	290
992	36049	254
993	36094	217
994	36125	181
995	36155	145
996	36184	108
997	36210	72
998	36244	36
999	36273	0
