iter	RMSE
220	129175.1632
221	129131.6894
222	129118.2965
223	129078.8447
224	129045.9236
225	129011.6011
226	128985.3687
227	128941.8576
228	128922.2868
229	128896.2269
230	128834.098
231	128796.8182
232	128720.9617
233	128697.5076
234	128665.7675
235	128641.6223
236	128603.1322
237	128577.2939
238	128530.4533
239	128499.8932
240	128470.3344
241	128429.47
242	128401.533
243	128374.7923
244	128338.5511
245	128287.6164
246	128262.4539
247	128234.8865
248	128162.2943
249	128140.8127
250	128061.6149
251	128029.2054
252	127998.4776
253	127985.6074
254	127962.5505
255	127933.8159
256	127861.0131
257	127827.1951
258	127790.5369
259	127726.4571
260	127689.134
261	127622.6985
262	127588.6172
263	127556.3405
264	127529.48
265	127497.1329
266	127461.8758
267	127444.2766
268	127412.8353
269	127395.3731
270	127361.542
271	127316.9204
272	127281.3965
273	127227.0875
274	127199.9546
275	127180.3624
276	127144.9418
277	127120.1264
278	127071.1531
279	127026.5461
280	126963.2047
281	126935.5979
282	126914.2038
283	126901.1438
284	126880.3393
285	126857.8828
286	126836.2191
287	126753.9075
288	126726.8254
289	126680.9837
290	126656.034
291	126600.9064
292	126575.5251
293	126521.493
294	126483.6044
295	126451.8634
296	126428.9749
297	126364.6756
298	126347.4843
299	126336.1099
300	126309.8171
301	126277.6646
302	126233.1128
303	126201.9098
304	126156.0316
305	126132.7323
306	126115.1268
307	126098.2297
308	126038.3262
309	126019.899
310	125972.2033
311	125958.2726
312	125930.2789
313	125906.2887
314	125888.4776
315	125854.6359
316	125809.6325
317	125789.6885
318	125776.7615
319	125758.1598
320	125701.5428
321	125662.3005
322	125645.1469
323	125614.5865
324	125584.1362
325	125566.7762
326	125524.6199
327	125490.9064
328	125471.7508
329	125451.1699
330	125433.1214
331	125391.968
332	125372.9653
333	125324.4633
334	125303.313
335	125289.3023
336	125260.3481
337	125252.3353
338	125196.5436
339	125177.2214
340	125155.5902
341	125128.1591
342	125098.1485
343	125080.8664
344	125057.7
345	125014.2693
346	124997.4474
347	124973.7091
348	124942.7438
349	124927.1656
350	124874.881
351	124856.5864
352	124841.7186
353	124831.2255
354	124818.7177
355	124759.2373
356	124728.254
357	124644.8268
358	124619.7661
359	124606.7177
360	124591.184
361	124537.4797
362	124498.5079
363	124474.6008
364	124453.1712
365	124429.4802
366	124411.0645
367	124402.8196
368	124380.312
369	124359.5737
370	124337.2992
371	124290.4414
372	124247.3356
373	124221.8241
374	124194.2024
375	124148.9795
376	124132.7495
377	124107.4688
378	124068.4159
379	124017.6899
380	124006.1039
381	123986.0913
382	123975.6584
383	123945.0675
384	123911.4641
385	123858.9683
386	123818.9369
387	123811.4895
388	123789.6219
389	123774.0266
390	123741.1015
391	123721.7372
392	123707.1086
393	123695.6728
394	123680.6507
395	123661.275
396	123651.9055
397	123622.3782
398	123603.6926
399	123584.3391
400	123566.2103
401	123551.9842
402	123542.5171
403	123520.423
404	123501.4183
405	123482.6849
406	123461.9935
407	123433.0871
408	123407.7386
409	123393.226
410	123376.1043
411	123362.219
412	123322.7451
413	123305.0768
414	123244.8066
415	123223.1876
416	123198.611
417	123140.9842
418	123127.4839
419	123112.9054
420	123067.7333
421	123046.9414
422	123019.5108
423	123001.4004
424	122983.6041
425	122930.3375
426	122907.8338
427	122895.7195
428	122876.9092
429	122862.2689
430	122845.2067
431	122833.2638
432	122800.1125
433	122741.02
434	122705.5178
435	122689.7131
436	122667.918
437	122616.5167
438	122582.3183
439	122570.1437
440	122559.3122
441	122525.0741
442	122494.6771
443	122479.8547
444	122445.7797
445	122431.3786
446	122415.5902
447	122400.6952
448	122369.3379
449	122356.8301
450	122340.3895
451	122335.826
452	122314.433
453	122303.3784
454	122277.8929
455	122232.7453
456	122209.9614
457	122200.3283
458	122187.6797
459	122178.1432
460	122168.2706
461	122144.7654
462	122130.6524
463	122115.3952
464	122082.1512
465	122061.3016
466	122055.5552
467	122041.8985
468	122029.8912
469	122021.4254
470	122015.6453
471	121984.4488
472	121961.6428
473	121930.3884
474	121871.4529
475	121863.4411
476	121850.9173
477	121838.4587
478	121822.34
479	121796.7484
480	121746.3087
481	121726.2055
482	121692.9188
483	121673.3144
484	121667.1158
485	121650.838
486	121640.9176
487	121629.9432
488	121616.9607
489	121596.4335
490	121578.3179
491	121561.8187
492	121530.4813
493	121492.2827
494	121450.1392
495	121436.8816
496	121414.2655
497	121397.0691
498	121381.3964
499	121364.5194
500	121354.1931
501	121340.2023
502	121314.3565
503	121296.0435
504	121263.6416
505	121250.7522
506	121237.4781
507	121228.7607
508	121220.7903
509	121193.9961
510	121184.9196
511	121175.6615
512	121163.2487
513	121147.9893
514	121134.8139
515	121124.6389
516	121099.6873
517	121084.1479
518	121081.6081
519	121056.0341
520	121035.5337
521	121017.9183
522	120977.6079
523	120953.1063
524	120934.2868
525	120910.2505
526	120858.5914
527	120855.0745
528	120830.7332
529	120804.7635
530	120765.7314
531	120754.133
532	120746.7246
533	120727.9755
534	120714.4346
535	120704.2897
536	120684.2979
537	120673.5716
538	120665.2224
539	120651.7009
540	120640.848
541	120628.8143
542	120591.4061
543	120583.9662
544	120574.569
545	120550.9585
546	120523.8457
547	120474.3906
548	120452.8566
549	120413.2384
550	120404.7654
551	120394.1826
552	120380.1517
553	120342.6482
554	120329.5284
555	120320.8711
556	120307.8383
557	120301.6864
558	120267.5975
559	120257.1852
560	120246.3319
561	120225.1588
562	120194.9295
563	120185.4455
564	120171.9455
565	120159.4198
566	120148.6742
567	120135.3949
568	120103.1356
569	120084.9711
570	120072.2558
571	120059.1624
572	120032.9137
573	120006.9305
574	119996.3786
575	119967.2591
576	119956.1703
577	119943.9405
578	119933.3067
579	119925.1011
580	119917.7624
581	119913.6143
582	119882.8074
583	119874.0484
584	119853.804
585	119844.1911
586	119809.489
587	119805.7017
588	119795.2475
589	119784.6326
590	119775.8992
591	119748.9438
592	119738.0544
593	119723.5508
594	119693.7509
595	119679.9371
596	119646.5947
597	119628.1346
598	119615.1519
599	119596.5758
600	119583.7177
601	119577.9287
602	119552.9908
603	119529.0616
604	119486.9478
605	119447.2976
606	119412.3233
607	119401.0549
608	119383.7107
609	119366.3005
610	119355.7145
611	119345.1894
612	119337.2003
613	119308.2788
614	119279.3369
615	119254.5406
616	119234.3793
617	119217.9185
618	119206.4609
619	119189.6502
620	119156.3269
621	119139.864
622	119127.3432
623	119113.2956
624	119099.1638
625	119096.9954
626	119084.8806
627	119062.2121
628	119051.5754
629	119038.1234
630	119015.6618
631	119000.4817
632	118991.8952
633	118971.2397
634	118925.5644
635	118917.3471
636	118905.6646
637	118894.25
638	118876.6406
639	118860.3607
640	118849.5102
641	118818.2455
642	118814.4977
643	118804.5891
644	118779.6866
645	118767.915
646	118736.3059
647	118728.3478
648	118700.2497
649	118687.3624
650	118679.4879
651	118672.6764
652	118663.5815
653	118630.7779
654	118611.3481
655	118588.6338
656	118562.4502
657	118547.8779
658	118543.5135
659	118539.6319
660	118503.4146
661	118498.0365
662	118487.5294
663	118477.2488
664	118446.511
665	118437.7453
666	118430.8059
667	118407.2916
668	118389.0119
669	118373.7416
670	118341.5944
671	118309.4827
672	118272.5137
673	118262.7356
674	118253.6254
675	118243.9116
676	118234.4232
677	118227.0906
678	118198.6802
679	118176.5696
680	118167.3902
681	118158.3289
682	118147.2663
683	118121.9999
684	118103.4301
685	118067.42
686	118052.6033
687	118042.3518
688	118023.1933
689	118007.5943
690	117983.4368
691	117971.0338
692	117963.906
693	117957.8081
694	117942.2004
695	117927.5729
696	117910.2587
697	117900.3654
698	117894.8695
699	117862.8889
700	117857.8311
701	117848.447
702	117835.2026
703	117822.6121
704	117797.2258
705	117779.5212
706	117760.7099
707	117743.5198
708	117721.526
709	117716.4201
710	117688.812
711	117675.9688
712	117655.9667
713	117646.7857
714	117630.7993
715	117617.2767
716	117602.9222
717	117594.1434
718	117585.4471
719	117574.9437
720	117569.9351
721	117559.7512
722	117538.7116
723	117519.5278
724	117480.1575
725	117471.527
726	117465.2238
727	117453.3834
728	117443.9726
729	117428.1177
730	117415.4591
731	117386.8924
732	117379.4866
733	117369.6952
734	117356.1237
735	117324.9303
736	117316.6672
737	117303.4605
738	117293.9028
739	117281.5097
740	117264.2462
741	117234.7751
742	117224.8279
743	117200.2346
744	117190.2619
745	117180.1641
746	117171.1603
747	117156.2629
748	117145.4452
749	117134.6884
750	117129.5571
751	117121.9601
752	117084.1929
753	117067.9995
754	117043.9889
755	117034.4229
756	117024.2152
757	117015.1636
758	116973.3443
759	116946.3533
760	116917.081
761	116901.2147
762	116894.2869
763	116882.5836
764	116875.5339
765	116865.3613
766	116858.5563
767	116851.8123
768	116842.0327
769	116836.1089
770	116831.7839
771	116818.3631
772	116793.9487
773	116770.3811
774	116749.4574
775	116722.9581
776	116714.0666
777	116705.4763
778	116701.4735
779	116691.3864
780	116684.6347
781	116658.8493
782	116639.9636
783	116621.7747
784	116612.3716
785	116576.4639
786	116562.9786
787	116549.1324
788	116533.6171
789	116527.8892
790	116511.211
791	116482.8123
792	116463.2474
793	116454.7338
794	116450.4409
795	116411.1149
796	116391.6778
797	116384.3197
798	116379.3654
799	116364.7475
800	116358.9546
801	116351.559
802	116344.1765
803	116325.3561
804	116317.9432
805	116313.1391
806	116303.3647
807	116293.7029
808	116262.4337
809	116253.6745
810	116228.4286
811	116205.5119
812	116189.2069
813	116183.9412
814	116176.8579
815	116164.479
816	116142.9322
817	116127.0309
818	116113.7454
819	116105.3829
820	116077.6578
821	116044.7571
822	116035.0776
823	116021.5046
824	116008.3792
825	115988.9183
826	115967.5253
827	115957.1754
828	115948.7267
829	115936.4701
830	115921.289
831	115917.8485
832	115907.7486
833	115899.4229
834	115892.435
835	115869.9725
836	115860.8579
837	115852.3306
838	115845.8045
839	115839.9003
840	115831.1444
841	115821.7375
842	115812.7748
843	115792.1994
844	115783.8898
845	115773.6557
846	115759.7324
847	115745.8682
848	115729.7846
849	115722.2556
850	115714.4497
851	115695.1856
852	115686.2919
853	115681.5554
854	115664.1899
855	115657.889
856	115646.3299
857	115625.6855
858	115602.906
859	115593.4152
860	115571.1092
861	115546.407
862	115533.0644
863	115509.3512
864	115506.5894
865	115489.021
866	115470.2659
867	115457.7087
868	115444.7192
869	115427.3515
870	115402.6148
871	115394.9178
872	115386.012
873	115369.8409
874	115354.3836
875	115325.8568
876	115320.9429
877	115315.4061
878	115303.9649
879	115299.7727
880	115296.8443
881	115282.7175
882	115275.9825
883	115265.1161
884	115246.0543
885	115239.283
886	115217.8709
887	115208.9491
888	115183.0401
889	115162.9157
890	115152.0553
891	115135.9369
892	115092.3432
893	115068.7814
894	115060.8764
895	115030.3894
896	115016.9817
897	114984.5487
898	114964.4888
899	114958.6641
900	114953.8995
901	114924.4522
902	114910.8635
903	114898.7856
904	114878.671
905	114869.8483
906	114863.9571
907	114827.3641
908	114818.2844
909	114797.0214
910	114793.582
911	114778.2726
912	114771.8896
913	114761.016
914	114743.0036
915	114713.5862
916	114703.959
917	114689.4379
918	114668.0622
919	114657.1737
920	114649.5671
921	114639.6201
922	114623.7237
923	114617.9506
924	114610.2379
925	114607.8686
926	114598.1445
927	114590.1951
928	114573.169
929	114545.7149
930	114531.6097
931	114525.9687
932	114512.1646
933	114492.276
934	114468.9642
935	114455.5318
936	114444.9295
937	114437.8273
938	114428.5018
939	114419.0845
940	114406.7706
941	114386.7142
942	114371.8585
943	114366.7815
944	114359.3782
945	114354.6728
946	114346.7565
947	114341.1539
948	114331.9103
949	114324.0204
950	114306.3509
951	114287.5966
952	114276.9519
953	114266.2997
954	114257.0138
955	114253.3614
956	114245.1501
957	114225.0575
958	114211.7225
959	114206.7054
960	114195.3292
961	114181.6993
962	114159.9425
963	114155.1234
964	114134.1901
965	114125.3097
966	114119.8634
967	114113.6994
968	114102.5505
969	114094.9167
970	114087.2997
971	114080.9689
972	114067.8365
973	114061.6704
974	114057.2215
975	114047.9251
976	114020.2486
977	114005.7051
978	113999.4761
979	113975.3024
980	113966.1258
981	113959.1002
982	113949.291
983	113939.222
984	113932.7676
985	113929.4267
986	113906.0613
987	113895.3362
988	113883.9376
989	113879.3329
990	113857.7723
991	113849.6992
992	113835.9816
993	113831.732
994	113815.2818
995	113800.5587
996	113789.2824
997	113767.6674
998	113762.0859
999	113740.4648
