iter	Logloss
150	0.5821474099
151	0.5820635542
152	0.5818865557
153	0.5817358619
154	0.5815480752
155	0.5814189726
156	0.5813004112
157	0.581027394
158	0.5809001274
159	0.5807270839
160	0.580575165
161	0.5802868174
162	0.5799527685
163	0.5796902537
164	0.5794622772
165	0.5792714336
166	0.5791299019
167	0.57902934
168	0.5788175509
169	0.5785485028
170	0.57848056
171	0.5783272978
172	0.5781437029
173	0.5779434811
174	0.5777751974
175	0.5776459764
176	0.577513181
177	0.5773706563
178	0.5772986084
179	0.5770506182
180	0.5769353732
181	0.5767760724
182	0.5767061018
183	0.5765867841
184	0.5765183157
185	0.5764113573
186	0.5762720586
187	0.5761127849
188	0.5760132916
189	0.5758365966
190	0.575704207
191	0.5756045072
192	0.5755111011
193	0.5754197574
194	0.5752885952
195	0.5752029854
196	0.5750948418
197	0.5748710426
198	0.5746715909
199	0.5745591114
200	0.574455704
201	0.574304803
202	0.57415911
203	0.5740100376
204	0.5738892846
205	0.5737377247
206	0.573589197
207	0.5734908846
208	0.573233384
209	0.5731779311
210	0.5731332808
211	0.5729164218
212	0.5727386912
213	0.5726308754
214	0.5725352595
215	0.5724048333
216	0.5722698283
217	0.5721126657
218	0.5720021608
219	0.5718968422
220	0.5717356118
221	0.5716865128
222	0.5715465251
223	0.571409919
224	0.5711850039
225	0.5710553138
226	0.5708598146
227	0.570703392
228	0.5706165703
229	0.5704891414
230	0.5703922851
231	0.570254028
232	0.5701210782
233	0.5699723716
234	0.5698191147
235	0.5697364756
236	0.5695626774
237	0.5695068254
238	0.5694170832
239	0.5692721893
240	0.5691907954
241	0.5690650357
242	0.5690222207
243	0.5688208566
244	0.5686792942
245	0.5685140063
246	0.5684265827
247	0.5682500695
248	0.5680222667
249	0.5679351418
250	0.567845266
251	0.5677440511
252	0.5676553978
253	0.5674857341
254	0.5673294183
255	0.5670821201
256	0.5669943319
257	0.5668858836
258	0.5667615581
259	0.5666178809
260	0.5665173886
261	0.5664710033
262	0.5663608392
263	0.566306786
264	0.5660984233
265	0.5658923156
266	0.5658123771
267	0.5657037144
268	0.5655723019
269	0.565358481
270	0.5652682441
271	0.5651410104
272	0.5650032746
273	0.5648264713
274	0.5647340098
275	0.564562296
276	0.5643623012
277	0.5642858117
278	0.5641379542
279	0.5640345397
280	0.5638805355
281	0.5637669327
282	0.5636434759
283	0.5635652625
284	0.5634469516
285	0.563351875
286	0.5632204748
287	0.5631272971
288	0.5630016691
289	0.5629021336
290	0.5628475226
291	0.5627414988
292	0.5625947614
293	0.56250468
294	0.5623858698
295	0.562316285
296	0.5621445485
297	0.5620521848
298	0.5619419135
299	0.5617928446
300	0.5617128268
301	0.5615935599
302	0.5614690113
303	0.5613020675
304	0.5612042862
305	0.5610890832
306	0.5609396627
307	0.5607962181
308	0.5607337295
309	0.5606071358
310	0.5604578784
311	0.5602971608
312	0.5601646161
313	0.5600702436
314	0.5598042882
315	0.5596723453
316	0.5595668069
317	0.5594229976
318	0.5593287487
319	0.5592081783
320	0.5590394816
321	0.5589179499
322	0.5587598255
323	0.5586437501
324	0.5585519328
325	0.5583607955
326	0.5581903112
327	0.5580835204
328	0.5579913094
329	0.5578337001
330	0.5576658916
331	0.5575090927
332	0.5574317109
333	0.557255311
334	0.5570654686
335	0.5569615909
336	0.5568474663
337	0.5567175536
338	0.5565444711
339	0.5562618194
340	0.5560870112
341	0.5559978343
342	0.5559136806
343	0.5557455366
344	0.5556306951
345	0.5554903399
346	0.5553377335
347	0.5551654906
348	0.5549519936
349	0.5546880487
350	0.5544833156
351	0.5543020826
352	0.5541949144
353	0.554109055
354	0.5539359102
355	0.5537900319
356	0.5536873024
357	0.5535299752
358	0.5532772458
359	0.5530767066
360	0.5529232395
361	0.5528320376
362	0.5526235004
363	0.5525060235
364	0.5523850306
365	0.5522874579
366	0.5520996731
367	0.5519140292
368	0.5518107794
369	0.551597108
370	0.5515072186
371	0.5513956243
372	0.551228251
373	0.5510936969
374	0.5509568151
375	0.5507461647
376	0.550573219
377	0.5504206603
378	0.5503215214
379	0.5501924016
380	0.5500889587
381	0.5499706013
382	0.5498842987
383	0.5497866652
384	0.54969291
385	0.549580354
386	0.5494439362
387	0.5492204284
388	0.5490857558
389	0.5489517245
390	0.5487869898
391	0.5486318717
392	0.5485613628
393	0.5484644473
394	0.548359174
395	0.5482777663
396	0.5481777291
397	0.5479714999
398	0.5478555771
399	0.5477619867
400	0.5476232
401	0.5475072367
402	0.5473867886
403	0.5473534794
404	0.5472179188
405	0.5470422174
406	0.5468859208
407	0.5467246
408	0.5465298971
409	0.5463986951
410	0.5463394227
411	0.54611798
412	0.5460185026
413	0.5459192398
414	0.5457458199
415	0.5455718781
416	0.5453384065
417	0.5452481901
418	0.5450814955
419	0.5449724314
420	0.5448995715
421	0.5448300268
422	0.5446034558
423	0.5444962403
424	0.5443098831
425	0.5441502015
426	0.5439827565
427	0.5438643044
428	0.5437735067
429	0.5436558236
430	0.5435598192
431	0.5434206844
432	0.5433016374
433	0.5432200522
434	0.5430749806
435	0.5428481902
436	0.5427294115
437	0.5425887952
438	0.5424932822
439	0.5423397989
440	0.5422589415
441	0.5420342393
442	0.5419582358
443	0.5418724921
444	0.5417858045
445	0.5416681517
446	0.5415605448
447	0.5415072269
448	0.5414005474
449	0.5412580135
450	0.5411088591
451	0.5409461046
452	0.54085271
453	0.5407352219
454	0.5405956749
455	0.5405041613
456	0.5403871634
457	0.5402731259
458	0.5401134356
459	0.5399858015
460	0.5399145721
461	0.5398241365
462	0.5396980782
463	0.5395515053
464	0.5393571109
465	0.5392606198
466	0.5391676876
467	0.5390169273
468	0.5389327716
469	0.5387657337
470	0.5386431202
471	0.5385467874
472	0.5384115619
473	0.5383635799
474	0.5382448793
475	0.5381309443
476	0.537951892
477	0.5378485437
478	0.537748496
479	0.5376500703
480	0.5375365078
481	0.5374293241
482	0.5372880475
483	0.5372276764
484	0.5371449395
485	0.5370646971
486	0.5369941517
487	0.536898539
488	0.5368010027
489	0.5366932472
490	0.5365610535
491	0.5364493801
492	0.5363788118
493	0.536282652
494	0.5361762689
495	0.5360745341
496	0.5359595663
497	0.5358340513
498	0.5357094474
499	0.5355842812
500	0.5354673968
501	0.5353203668
502	0.5352109248
503	0.5351251789
504	0.5350306638
505	0.5349072728
506	0.5347642747
507	0.5345716119
508	0.5345237574
509	0.5344598668
510	0.5343900266
511	0.5342916188
512	0.5341141699
513	0.5340361659
514	0.5339060867
515	0.5337913146
516	0.5336850033
517	0.5335956703
518	0.5334827061
519	0.5334040411
520	0.5332740372
521	0.533216482
522	0.5331428381
523	0.5330738804
524	0.5329536557
525	0.5328746258
526	0.5327673494
527	0.5327256948
528	0.5326220681
529	0.5325366962
530	0.5324674929
531	0.5323716001
532	0.5322808913
533	0.5322030897
534	0.5320359279
535	0.5319381677
536	0.5318310302
537	0.531696607
538	0.5314954959
539	0.5314191991
540	0.5312761058
541	0.5311564924
542	0.5310265752
543	0.5308672299
544	0.5308076696
545	0.5306590123
546	0.5305237388
547	0.5304337234
548	0.530323562
549	0.5301878508
550	0.5300600206
551	0.5299603362
552	0.5298229993
553	0.5297628908
554	0.5296533477
555	0.5295246318
556	0.5293884361
557	0.5292705466
558	0.5291673439
559	0.5290490287
560	0.5290034295
561	0.5288709935
562	0.528766858
563	0.5287006336
564	0.5285470944
565	0.5284334354
566	0.5283365176
567	0.5281756167
568	0.5280459576
569	0.5279637569
570	0.5278977105
571	0.5277658814
572	0.5276122465
573	0.5275044513
574	0.5274230536
575	0.5272993648
576	0.5271512136
577	0.5270279424
578	0.5269223485
579	0.5268698736
580	0.5267614676
581	0.5266478924
582	0.5265118611
583	0.526420966
584	0.5263259522
585	0.5262247718
586	0.5261161986
587	0.5260060015
588	0.525894344
589	0.5257794172
590	0.5257090716
591	0.5256438132
592	0.5255593482
593	0.5254779166
594	0.5253968219
595	0.5253236099
596	0.5251858196
597	0.5250140768
598	0.5249316324
599	0.5248604034
600	0.5247915282
601	0.5246774913
602	0.5245937082
603	0.5244890351
604	0.5244285306
605	0.524374661
606	0.5243211427
607	0.5242328306
608	0.5241862118
609	0.524068602
610	0.523971245
611	0.5237915515
612	0.5236941506
613	0.5236029308
614	0.523482641
615	0.5233494126
616	0.5232348675
617	0.5231274979
618	0.5230623194
619	0.5229476254
620	0.5228452077
621	0.5226950376
622	0.5225773538
623	0.5224742492
624	0.5223478084
625	0.5222245925
626	0.5220622363
627	0.5219997984
628	0.5219171431
629	0.5218354185
630	0.5217465696
631	0.5216653483
632	0.5215869947
633	0.5214451512
634	0.5213127788
635	0.5212414865
636	0.5211206149
637	0.5210370767
638	0.5208857406
639	0.5207605431
640	0.5207324431
641	0.5206576661
642	0.5205397449
643	0.520412168
644	0.5203660912
645	0.5202801932
646	0.5201901189
647	0.5201052958
648	0.5199961894
649	0.519906089
650	0.5197529839
651	0.5196805698
652	0.5195854882
653	0.5194518582
654	0.5192997485
655	0.5192290372
656	0.5191714486
657	0.5190916195
658	0.5189747394
659	0.5188968376
660	0.518760497
661	0.5187142069
662	0.5186783493
663	0.5185888369
664	0.5184750539
665	0.5183629876
666	0.5182743731
667	0.5182059686
668	0.5180778018
669	0.517949076
670	0.5178251463
671	0.5177057189
672	0.517594009
673	0.5174872102
674	0.517428487
675	0.5172931794
676	0.5171995803
677	0.5171248037
678	0.5170047434
679	0.5169165532
680	0.516791024
681	0.5166584478
682	0.5165479276
683	0.5165014411
684	0.5164456072
685	0.5163240056
686	0.5162219108
687	0.5160700822
688	0.5159549008
689	0.5158026362
690	0.5157002606
691	0.5155609961
692	0.5154861342
693	0.515408602
694	0.51530334
695	0.5152308324
696	0.5151210619
697	0.5150677727
698	0.5149571932
699	0.5148609503
700	0.5147616939
701	0.5145976308
702	0.5145381972
703	0.5144206583
704	0.514287868
705	0.5142347373
706	0.5140788447
707	0.513934423
708	0.5138565864
709	0.5137999404
710	0.5137395733
711	0.5136342093
712	0.5135508943
713	0.5134250766
714	0.51334492
715	0.5132571893
716	0.5132150263
717	0.5131303986
718	0.5130438337
719	0.5129098363
720	0.5128201993
721	0.5127509443
722	0.5127002035
723	0.5126073451
724	0.5124779686
725	0.5124376184
726	0.5123571506
727	0.5122332733
728	0.5121542347
729	0.5120210195
730	0.5119307474
731	0.5117855546
732	0.5116625431
733	0.5115844357
734	0.5114870439
735	0.5114037297
736	0.511311454
737	0.5111963532
738	0.5110953259
739	0.5109824397
740	0.5108498912
741	0.5107952871
742	0.5106470299
743	0.5105788328
744	0.5105310093
745	0.510422521
746	0.5104022151
747	0.5103274987
748	0.5102670352
749	0.510179746
750	0.510113659
751	0.5100324273
752	0.5099460914
753	0.5098661438
754	0.5098018203
755	0.509647916
756	0.5095950376
757	0.5095480449
758	0.5094482325
759	0.509358533
760	0.5092902939
761	0.509238495
762	0.5091588674
763	0.5091019173
764	0.5090331595
765	0.508885571
766	0.5088512514
767	0.5087138858
768	0.508629131
769	0.5085289002
770	0.5084355377
771	0.5083279802
772	0.5082386351
773	0.5081826607
774	0.5080660253
775	0.5079805668
776	0.5079336629
777	0.5078338558
778	0.5077708816
779	0.5076937708
780	0.5075803489
781	0.5075172978
782	0.5074915514
783	0.5073481239
784	0.5072092204
785	0.5071240761
786	0.5070771692
787	0.5070083741
788	0.5069496587
789	0.506869968
790	0.5068017408
791	0.5067067912
792	0.5065570255
793	0.5064463323
794	0.506327682
795	0.5062674347
796	0.5061863877
797	0.5061079305
798	0.5060334841
799	0.5059490166
800	0.5058693032
801	0.5057681032
802	0.5056859014
803	0.5056136328
804	0.505559736
805	0.5055272549
806	0.5054362994
807	0.5053620477
808	0.5053055492
809	0.5052598524
810	0.5051565224
811	0.5051024917
812	0.5050144856
813	0.5049475465
814	0.5048519609
815	0.5047642271
816	0.504643947
817	0.5045865574
818	0.5045344229
819	0.5044670778
820	0.5044020703
821	0.504339279
822	0.5042149433
823	0.5041475055
824	0.504099205
825	0.5039754204
826	0.5038626535
827	0.5038190467
828	0.5037455371
829	0.5036927611
830	0.5035548173
831	0.5034426135
832	0.5033818648
833	0.5032961271
834	0.5031859811
835	0.5030843907
836	0.5030081685
837	0.5029320893
838	0.5027915193
839	0.502662406
840	0.5026078321
841	0.5024913534
842	0.5024349939
843	0.5023584788
844	0.5022621668
845	0.502215415
846	0.5021490593
847	0.5020775946
848	0.5019727658
849	0.5018991795
850	0.5018267932
851	0.5017276644
852	0.5016596192
853	0.5015927628
854	0.501460478
855	0.5014328636
856	0.5013479171
857	0.5012838956
858	0.5012247732
859	0.5011115347
860	0.5010600568
861	0.5009462993
862	0.5008151171
863	0.5007299329
864	0.5006425616
865	0.5005698634
866	0.5004956889
867	0.5004158481
868	0.5003398894
869	0.5002922505
870	0.5001925425
871	0.5001287072
872	0.5000842203
873	0.5000063165
874	0.4999392769
875	0.4998515418
876	0.4997785025
877	0.4996882701
878	0.4995608436
879	0.4994996674
880	0.4994125516
881	0.4992807654
882	0.499195511
883	0.4991181577
884	0.499035139
885	0.4989646814
886	0.498824841
887	0.4987419723
888	0.4986658183
889	0.4986034098
890	0.4985519614
891	0.4984821167
892	0.4983841496
893	0.4983177946
894	0.4982379352
895	0.4981428409
896	0.4980739868
897	0.4979761834
898	0.4978582763
899	0.4977907551
900	0.4976947616
901	0.4976543784
902	0.4975980709
903	0.4975225584
904	0.4974165415
905	0.4973286939
906	0.4972352623
907	0.4971276835
908	0.4970429132
909	0.4969415706
910	0.4968701246
911	0.4967943069
912	0.4967058899
913	0.4966614662
914	0.4966171722
915	0.4965268962
916	0.4964784788
917	0.4963799802
918	0.49632146
919	0.4962517418
920	0.4961455107
921	0.4960848068
922	0.4960019722
923	0.4959053052
924	0.4958024955
925	0.4957664466
926	0.4956723819
927	0.4956157567
928	0.4955325209
929	0.4954592694
930	0.4953891177
931	0.4953306033
932	0.4952641625
933	0.4952191176
934	0.4951265212
935	0.4950758867
936	0.4949933552
937	0.4949551234
938	0.4949019568
939	0.494797274
940	0.494700285
941	0.4946142874
942	0.4945058777
943	0.494437615
944	0.4943502184
945	0.4942967619
946	0.4942334325
947	0.4941859825
948	0.4941316157
949	0.4940626253
950	0.4939986513
951	0.4938964738
952	0.4938011927
953	0.4936728191
954	0.4936396702
955	0.4935079863
956	0.493441891
957	0.4933836643
958	0.4932880909
959	0.4931976887
960	0.4930784109
961	0.4929851258
962	0.4929560547
963	0.492919914
964	0.4928090507
965	0.4926846668
966	0.4925906513
967	0.4925721553
968	0.492502456
969	0.4924204809
970	0.4923127775
971	0.4922203392
972	0.4921705599
973	0.4921255703
974	0.4921016819
975	0.4920208186
976	0.4919465524
977	0.4919129966
978	0.4918065223
979	0.4917210768
980	0.4916580733
981	0.4916012179
982	0.4915211959
983	0.4913865351
984	0.4913373347
985	0.4912651635
986	0.4912122858
987	0.4911491485
988	0.4910088256
989	0.4909388327
990	0.4908158199
991	0.490777317
992	0.490681078
993	0.4905983237
994	0.4905096579
995	0.4904325422
996	0.4903675945
997	0.4902727055
998	0.4902186745
999	0.4901087877
